Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
144,"Sunday, Sep 8",boxscore,ATL,,WSN,L,4,9,,89-55,1,up 9.0,Scherzer,Soroka,,3:16,D,"31,789",0.15,-,
145,"Monday, Sep 9",boxscore,ATL,@,PHI,W,7,2,,90-55,1,up 9.5,Foltynewicz,Nola,,2:47,N,"25,071",0.11,+,
146,"Tuesday, Sep 10",boxscore,ATL,@,PHI,L,5,6,,90-56,1,up 9.5,Parker,Fried,Neris,3:06,N,"24,220",0.1,-,
147,"Wednesday, Sep 11",boxscore,ATL,@,PHI,W,3,1,,91-56,1,up 9.5,Keuchel,Eflin,Melancon,3:31,N,"23,243",0.08,+,
148,"Thursday, Sep 12",boxscore,ATL,@,PHI,L,5,9,,91-57,1,up 8.5,Hughes,Teheran,Neris,3:35,N,"27,022",0.12,-,
149,"Friday, Sep 13",boxscore,ATL,@,WSN,W,5,0,,92-57,1,up 9.5,Soroka,Scherzer,,3:16,N,"39,730",0.13,+,
150,"Saturday, Sep 14",boxscore,ATL,@,WSN,W,10,1,,93-57,1,up10.5,Foltynewicz,Suero,,3:29,D,"39,664",0.09,++,
151,"Sunday, Sep 15",boxscore,ATL,@,WSN,L,0,7,,93-58,1,up 9.5,Sanchez,Fried,,3:03,D,"29,350",0.1,-,
152,"Tuesday, Sep 17",boxscore,ATL,,PHI,L,4,5,,93-59,1,up 9.0,Velasquez,Keuchel,Neris,3:26,N,"28,843",0.07,--,
153,"Wednesday, Sep 18",boxscore,ATL,,PHI,L,1,4,,93-60,1,up 9.0,Eflin,Teheran,Neris,2:59,N,"27,937",0.06,---,
154,"Thursday, Sep 19",boxscore,ATL,,PHI,W,5,4,,94-60,1,up 9.5,Soroka,Nola,Melancon,3:10,D,"33,223",0.07,+,
155,"Friday, Sep 20",boxscore,ATL,,SFG,W,6,0,,95-60,1,up 9.5,Foltynewicz,Beede,,2:21,N,"37,419",0.08,++,
156,"Saturday, Sep 21",boxscore,ATL,,SFG,W,8,1,,96-60,1,up 9.5,Fried,Cueto,,2:35,N,"40,899",0.06,+++,
157,"Sunday, Sep 22",boxscore,ATL,,SFG,L,1,4,,96-61,1,up 9.5,Webb,Keuchel,Smith,3:07,D,"33,674",0.08,-,
158,"Tuesday, Sep 24",boxscore,ATL,@,KCR,L,6,9,,96-62,1,up 7.5,Duffy,Teheran,,3:28,N,"16,688",0.07,--,
159,"Wednesday, Sep 25",boxscore,ATL,@,KCR,W,10,2,,97-62,1,up 7.5,Jackson,Barnes,,3:31,N,"16,931",0.06,+,
160,"Friday, Sep 27",boxscore,ATL,@,NYM,L,2,4,,97-63,1,up 6.0,Stroman,Keuchel,Lugo,3:09,N,"26,264",0.06,-,
161,"Saturday, Sep 28",boxscore,ATL,@,NYM,L,0,3,,97-64,1,up 5.0,Matz,Foltynewicz,Diaz,2:33,N,"32,210",0.05,--,
162,"Sunday, Sep 29",boxscore,ATL,@,NYM,L-wo,6,7,11,97-65,1,up 4.0,Mazza,Dayton,,3:44,D,"31,523",0.07,---,
